comparison,mean,median,std,group,dataset_name
within,15.456270563016128,15.0,6.831736370817152,Nextstrain_clade,sars-cov-2-2020-2022
between,42.08550168801955,42.0,18.2201338178302,Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,16.63476209551787,14.0,10.15168251081961,Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,50.84565503878133,48.0,13.24892529866061,pca_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,30.518291509214137,25.0,18.1673236209855,pca_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,50.84565503878133,48.0,13.24892529866061,pca_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,30.518291509214137,25.0,18.1673236209855,pca_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,43.64681434816711,44.0,18.007692752327213,mds_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,20.58497840019829,20.0,10.379803356060538,mds_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,43.64681434816711,44.0,18.007692752327213,mds_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,20.58497840019829,20.0,10.379803356060538,mds_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,43.76571609173956,44.0,17.429278348825022,t-sne_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,15.829173470181168,15.0,7.690449149512932,t-sne_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,43.24381906783284,43.0,17.560838499228673,t-sne_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,14.62186713091056,14.0,7.504970464467211,t-sne_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,51.394309917019626,49.0,13.059577217437742,umap_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,20.48208771524962,19.0,9.104607041451688,umap_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,51.394309917019626,49.0,13.059577217437742,umap_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,20.48208771524962,19.0,9.104607041451688,umap_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,47.33474260306802,47.0,19.97463026678217,Nextstrain_clade,sars-cov-2-2022-2023
within,14.767655212874876,14.0,7.057554981040865,Nextstrain_clade,sars-cov-2-2022-2023
between,45.015202154633975,45.0,20.22205915018761,Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,10.412903106440451,9.0,5.919377046126766,Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,54.36280292453018,54.0,21.523946866221003,pca_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,36.85148345111903,37.0,16.146472447049963,pca_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,54.36280292453018,54.0,21.523946866221003,pca_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,36.85148345111903,37.0,16.146472447049963,pca_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,46.28881178609527,46.0,20.02088156727901,mds_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,34.70199959995878,32.0,20.63261213650544,mds_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,46.28881178609527,46.0,20.02088156727901,mds_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,34.70199959995878,32.0,20.63261213650544,mds_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,46.77962035651835,46.0,19.4081262713748,t-sne_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,14.474074438447197,14.0,6.442526045708586,t-sne_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,45.8800799255756,45.0,19.75278485410292,t-sne_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,12.141003025139437,11.0,7.385614260935461,t-sne_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,48.68844376665698,48.0,18.92361414751199,umap_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,19.56333014105685,19.0,8.768274778661267,umap_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,48.68844376665698,48.0,18.92361414751199,umap_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,19.56333014105685,19.0,8.768274778661267,umap_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
