strain,mds1,mds2,mds_label,predicted_outlier_status,predicted_LOF_outlier_status,X_scores
A/Stockholm/20/1993,48.3352435065318,-112.15831988103885,2,1,1,-1.1345959743138614
A/SouthAustralia/15/1994,42.22127292194008,-120.34104724720578,2,1,1,-1.0567619778830568
A/NewYork/732/1994,40.45200393788903,-116.67716306104052,2,1,1,-0.9164655202678074
A/NewYork/655/1994,39.18612027145159,-120.42319234244681,2,1,1,-1.0611100004789025
A/NewYork/704/1994,42.82012151157688,-116.05067991547487,2,1,1,-1.0552107531699546
A/NewYork/743/1994,42.87982857555992,-116.02551841277081,2,1,1,-1.045472147701552
A/NewYork/752/1993,42.83389633811544,-116.04487732999607,2,1,1,-1.0395026181637308
A/NewYork/712/1993,40.125468353103884,-117.9113596710626,2,1,1,-0.9687242079751563
A/NewYork/730/1994,42.67628778088028,-117.2258007085155,2,1,1,-1.0389809939621943
A/NewYork/734/1994,42.897948958650325,-116.01787639992409,2,1,1,-1.0478356759351974
A/NewYork/718/1994,44.28757711942242,-116.4994628443503,2,1,1,-1.0505972976877027
A/NewYork/746/1994,46.01947017829773,-115.39764821710584,2,1,1,-1.0919360156920124
A/NewYork/713/1994,40.30788840624452,-118.94272120791271,2,1,1,-0.9839877244267525
A/NewYork/722/1994,43.27873879716457,-117.3953698776766,2,1,1,-1.0633846211934466
A/NewYork/724/1994,40.829753963338106,-118.74529486577693,2,1,1,-0.9775527745459639
A/NewYork/731/1994,40.92766509443475,-119.81623021988756,2,1,1,-1.0011409641434534
A/NewYork/751/1993,39.73040949931019,-120.26970867761948,2,1,1,-1.0418171379979637
A/NewYork/739/1994,38.29126018223661,-120.80263620025322,2,1,1,-1.2096711685952606
A/NewYork/714/1994,36.9505132619915,-120.84089335484045,2,1,1,-1.4496947815871395
A/NewYork/726/1994,37.564429570324435,-120.8169407268327,2,1,1,-1.3603136191381882
A/NewYork/762/1993,39.31483483564037,-114.97586634664968,2,1,1,-1.0068653092387876
A/NewYork/779/1993,39.61859323103612,-114.85520372268671,2,1,1,-1.0071091456249017
A/NewYork/801/1993,39.34421672823246,-113.88566905609659,2,1,1,-1.0174720109181319
A/NewYork/764/1993,39.31352562984201,-113.89758190089864,2,1,1,-1.0174720109181319
A/NewYork/791/1993,39.59037852987518,-114.872421911567,2,1,1,-1.0072979121752486
A/NewYork/771/1993,40.73789710846922,-113.64307528607672,2,1,1,-1.0303080849953354
A/NewYork/785/1993,41.037627245384996,-116.56241309215164,2,1,1,-0.968014333984873
A/NewYork/790/1993,39.4756057806584,-114.91212799864691,2,1,1,-1.007186138143864
A/NewYork/776/1993,42.71928760925167,-112.8914130783532,2,1,1,-1.215010236746697
A/NewYork/800/1993,43.335816553299075,-113.72705289802136,2,1,1,-1.052041146219024
A/NewYork/783/1993,39.068851129706225,-115.06954553430599,2,1,1,-1.0002418847449501
A/NewYork/798/1993,39.292682922911226,-113.90616482896387,2,1,1,-1.0174720109181319
A/NewYork/766/1993,40.18102116347061,-113.61374727664068,2,1,1,-1.0251526646187012
A/NewYork/775/1993,39.562156266598265,-114.87680949733705,2,1,1,-1.007206028014259
A/NewYork/788/1993,39.31683173625395,-113.90217306940028,2,1,1,-1.0174720109181319
A/NewYork/777/1993,39.34457137235482,-114.96275855554957,2,1,1,-1.0068149803705027
A/NewYork/773/1993,38.777747028902304,-114.06748526297571,2,1,1,-1.0223196353920236
A/NewYork/753/1994,41.49161893787725,-119.60970300945002,2,1,1,-0.993399841387529
A/NewYork/733/1994,41.96276548706845,-119.49452842124774,2,1,1,-0.9860742935030757
A/NewYork/738/1994,43.977928834915254,-116.83359362312441,2,1,1,-1.0413197812849975
A/NewYork/741/1994,40.09849518666048,-118.96167397255398,2,1,1,-0.9839877244267523
A/NewYork/789/1993,40.07703938905145,-115.5927843215463,2,1,1,-0.9874000438914157
A/NewYork/756/1993,44.243722321927464,-112.154373889316,2,1,1,-1.1521788558177344
A/NewYork/757/1993,38.46599649068156,-115.3250693085441,2,1,1,-1.0099775662564217
A/NewYork/784/1993,41.142276661909776,-113.43135676619242,2,1,1,-1.073436287216484
A/NewYork/719/1994,40.365541132368406,-116.73326867040402,2,1,1,-0.9166312061139757
A/NewYork/706/1993,40.69600440123619,-118.66254324747943,2,1,1,-0.979538986491425
A/NewYork/723/1994,41.884854253142244,-116.26036349525705,2,1,1,-1.0003149910328821
A/NewYork/745/1994,45.317210945762284,-114.88633854000437,2,1,1,-1.0524003540971563
A/NewYork/707/1994,40.1072740283373,-122.28234678371882,2,1,1,-1.2606910132333575
A/NewYork/747/1994,42.107572142024274,-118.30126661857643,2,1,1,-0.9866817046983078
A/NewYork/754/1993,45.97152291616071,-118.24798786423588,2,1,1,-1.2614753869290332
A/NewYork/760/1993,46.355906925758845,-117.0066548646923,2,1,1,-1.1798233750646123
A/NewYork/770/1993,51.45521774675761,-117.2204321803712,-1,1,1,-1.4224558916081298
A/NewYork/758/1993,38.96206182162406,-119.68573761529456,2,1,1,-1.0452584866301051
A/Netherlands/115/1993,46.01274656606442,-112.13390608887717,2,1,1,-1.0522742169619645
A/Netherlands/126/1993,47.10182608806328,-112.69851418921186,2,1,1,-1.1073317342281268
A/Singapore/19/1993,44.248896806639735,-116.43791737892795,2,1,1,-1.0615760229028677
A/NewYork/782/1993,42.15155529545368,-118.5196249753982,2,1,1,-0.9844314367812832
A/Netherlands/357/1993,50.29884071801886,-115.18894003167935,2,1,1,-1.2955408194349343
A/Netherlands/399/1993,34.963097625136506,-123.21479206266045,2,1,1,-1.49379735574592
A/Victoria/104/1993,47.35116550126946,-115.51919572368843,2,1,1,-1.16411902025306
A/Oslo/2352/1993,53.04917633888347,-115.3660920615112,-1,1,1,-1.49631610660288
A/Lyon/1803/1993,41.15482843851371,-121.12314164062876,2,1,1,-1.0794578086641355
A/Netherlands/179/1993,38.48878580923721,-116.23317597116258,2,1,1,-0.9926757276550884
A/NewYork/654/1994,46.549405369564816,-113.34955486102905,2,1,1,-1.1222206798957206
A/NewYork/715/1994,52.90610433954018,-112.47017140860943,-1,1,1,-1.3352729191969153
A/HongKong/56/1994,42.39220252890067,-112.58275967956892,2,1,1,-1.2606048644303585
A/HongKong/20/1996,27.265047877888307,-105.87588814180509,3,1,1,-0.992554215022249
A/HongKong/280/1997,21.850892179689932,-108.55661287939031,3,1,1,-1.0642311744863513
A/HongKong/357/1996,21.4730458687088,-99.22074155703086,3,1,1,-1.0105876944163439
A/Malaysia/10360/1996,21.285336018559587,-97.16488739846778,3,1,1,-1.01759449349818
A/HongKong/358/1996,25.38951039940646,-94.705771945094,-1,1,1,-1.0624637155310268
A/HongKong/55/1995,27.5975385397144,-102.25034365970265,3,1,1,-0.9494928643633728
A/Malaysia/07831/1995,28.964304433566245,-100.89581597762093,3,1,1,-0.9658606833061298
A/Malaysia/10370/1996,27.34760709618809,-100.4153081405465,3,1,1,-0.946510939090292
A/Malaysia/10081/1996,25.92083625396584,-103.79232050949577,3,1,1,-0.9461376317850176
A/Malaysia/10135/1996,26.368313357079906,-104.72419767733801,3,1,1,-0.9735764176464616
A/Malaysia/10111/1996,26.11950376441571,-103.72722411377786,3,1,1,-0.9450594514461569
A/Singapore/1/1996,33.557298168952194,-101.22476008760212,-1,1,1,-1.1051270250651957
A/Lyon/1781/1996,30.923044836280546,-103.52222058802715,3,1,1,-1.0102510947092456
A/Nice/491/1996,36.67775235966671,-101.37203597131891,-1,1,1,-1.1592238985051184
A/HongKong/CUHK12626/1997,20.85816087478053,-107.94560088927824,-1,1,1,-1.072893765797225
A/HongKong/CUHK4529/1997,18.360119467782113,-111.45292644119301,-1,1,1,-1.1666017650096656
A/HongKong/CUHK20992/1997,28.70256125163318,-107.95905661496157,3,1,1,-0.9798737131678426
A/HongKong/CUHK22048/1997,16.085426436366475,-108.34649121645417,-1,1,1,-1.1350458598400872
A/HongKong/CUHK4147/1997,23.202503633137816,-108.6523548815875,3,1,1,-1.0447247468865162
A/NewYork/541/1998,23.01388488453761,-111.76526236640629,-1,1,1,-1.094129500552841
A/NewYork/560/1997,20.019001673222498,-111.5802198812098,-1,1,1,-1.1518808026017902
A/NewYork/594/1996,22.76431697479328,-109.82038549356628,3,1,1,-1.0699540072089113
A/NewYork/576/1997,31.249077966713713,-106.72784710301693,3,1,1,-1.006928865278288
A/NewYork/564/1997,30.557514086188316,-107.37162423303184,3,1,1,-0.9999626701829085
A/NewYork/566/1997,18.681819031361087,-112.96306075009392,-1,1,1,-1.1975575419055673
A/NewYork/587/1996,31.845953203455554,-107.34460375438978,-1,1,1,-1.0497172639565897
A/NewYork/590/1996,24.900686111115913,-108.15350407937704,3,1,1,-0.9917063146971342
A/Netherlands/5/1998,43.92495702184517,-108.25578376975382,2,1,1,-1.0082018529922956
A/Malaysia/11473/1996,25.06785743393445,-107.16461703112115,3,1,1,-0.9751916506900079
A/NewYork/554/1996,21.299159318867254,-100.20314525196554,3,1,1,-0.9969201291344983
A/NewYork/557/1996,19.521791702656024,-101.73207079954322,3,1,1,-1.0106143470744942
A/NewYork/567/1996,23.842475855178183,-100.01240329798193,3,1,1,-0.9895025167430271
A/NewYork/577/1996,19.247308262298453,-101.78002687553844,-1,1,1,-1.0195813108197451
A/NewYork/603/1996,14.618443826848265,-107.00040608226212,-1,1,1,-1.190378127851288
A/NewYork/578/1996,19.008118866755122,-100.69348957758751,3,1,1,-1.025006763748097
A/NewYork/602/1996,19.777073377034768,-100.65584000616155,3,1,1,-1.007218040486872
A/NewYork/597/1997,18.018806249351613,-101.96331455557258,-1,1,1,-1.045058012793544
A/NewYork/589/1996,23.528146678242802,-98.59293366514208,3,1,1,-1.0169461024756665
A/NewYork/556/1996,21.515181042857343,-96.11489517072394,3,1,1,-1.0218756214040983
A/NewYork/563/1996,20.158715994834093,-99.52217266164641,3,1,1,-1.020149921232425
A/NewYork/559/1996,25.550311540289012,-99.68114836208771,3,1,1,-0.9723739386374607
A/NewYork/570/1996,27.993722110476536,-96.81657417676128,-1,1,1,-1.0376092093154223
A/NewYork/561/1996,25.14657275532289,-99.82243336117253,3,1,1,-0.9676905987960247
A/NewYork/558/1997,18.348664253947433,-112.44175376536066,-1,1,1,-1.196738103419357
A/NewYork/562/1996,31.921456338050547,-106.25679591177436,3,1,1,-1.0420574148337098
A/NewYork/585/1997,28.197190965999017,-107.4829862712472,3,1,1,-0.971666003960939
A/NewYork/608/1996,28.7132968677566,-101.70697457931342,3,1,1,-0.9762191298869715
A/NewYork/631/1996,26.218826869930503,-105.93201243169248,3,1,1,-0.9765096159156854
A/NewYork/617/1996,27.09229524402925,-103.56793791299464,3,1,1,-0.9666186744091998
A/NewYork/652/1996,23.425556986251863,-107.62723182743632,3,1,1,-1.0228033156594603
A/NewYork/569/1997,33.624693731384724,-103.68733892676576,-1,1,1,-1.076011465836966
A/Johannesburg/10/1997,19.512877291174817,-112.0556018029207,-1,1,1,-1.1759940781602634
A/Malaysia/12726/1997,22.241715758343105,-98.99370873861729,3,1,1,-1.0105876944163437
A/Malaysia/13241/1997,23.629082339033584,-98.79440896024191,3,1,1,-1.0183354899841242
A/Malaysia/14712/1997,21.15474520638,-100.71013408951492,3,1,1,-0.9941455586742622
A/Siena/1/1997,20.264414711715922,-100.4690127944956,3,1,1,-1.008748656841039
A/NewYork/537/1998,34.463221929101664,-104.4772131149525,2,1,1,-1.0990528154192352
A/Auckland/10/1997,18.394521742619066,-86.28015879997261,11,1,1,-1.015600391605338
A/Netherlands/300/1997,19.15838052575457,-87.0502262361932,11,1,1,-1.0052917694507382
A/HongKong/CUHK10100/1999,13.634627545582564,-85.0893920371755,11,1,1,-1.325855646719802
A/HongKong/CUHK10186/1998,14.913359170237355,-85.90532740866556,11,1,1,-0.9978619193820422
A/HongKong/CUHK41222/1997,14.954590291764195,-84.92075018634372,11,1,1,-1.2366764573188893
A/HongKong/CUHK10537/1998,14.95741673048176,-85.9066904451973,11,1,1,-0.9964977356694991
A/HongKong/CUHK41757/1997,14.764477697065859,-86.96340431599268,11,1,1,-0.9632649245181716
A/HongKong/CUHK10660/1998,14.973703564199074,-85.90229518336865,11,1,1,-0.9753814810789081
A/Malaysia/10759/1999,13.440189442780065,-82.24458867759553,-1,1,-1,-1.57827972313471
A/Malaysia/17332/1998,13.440181993237704,-82.24459031176433,-1,1,-1,-1.5782794687571156
A/Malaysia/17230/1998,16.869427039161884,-80.07326984713113,-1,1,-1,-2.05299098005868
A/Malaysia/17392/1998,13.772917332659018,-84.08600868181198,11,1,1,-1.4120875162614785
A/NewYork/247/1998,12.992650590295641,-83.26933309054601,-1,1,-1,-1.542858541695344
A/Malaysia/17276/1998,13.832807703270161,-85.11228342519685,11,1,1,-1.3393812923062467
A/Netherlands/462/1998,11.58999593317682,-88.42408368289352,-1,1,-1,-1.6657766433416146
A/HongKong/CUHK17697/1998,14.317039083084895,-90.14924955425992,11,1,1,-1.3733808032939763
A/HongKong/CUHK18886/1998,12.859001314433847,-92.4472272062313,-1,1,-1,-1.5018026182983095
A/Netherlands/427/1998,11.161685794655972,-89.62016657834904,-1,1,-1,-1.6072141510509703
A/Netherlands/414/1998,14.368521980461624,-88.08604319320526,11,1,1,-1.1000433702100623
A/Georgia/NHRC0001/1999,-2.3185809995792668,-84.22347816572395,5,1,-1,-2.153184396567554
A/Netherlands/301/1999,0.9805526887016024,-80.17193860189346,-1,1,-1,-2.2780106669072984
A/NewYork/137/1999,-1.5004664564988357,-83.24690459671673,5,1,-1,-2.208306088504774
A/NewYork/138/1999,-1.5005558785471464,-83.24690947255654,5,1,-1,-2.2082715914651647
A/NewYork/145/1999,-4.177660455055209,-86.3355364281641,-1,1,-1,-1.773344999660766
A/NewYork/423/1999,-4.162108021143154,-86.32251408512344,-1,1,-1,-1.7705688488248499
A/Iran/234/2014,5.4003983439066845,-79.42891173869337,9,1,-1,-1.8394080646572266
A/Shiraz/1006/2015,5.399700954084652,-79.42901120469764,9,1,-1,-1.83949376870495
A/Iran/407/2014,14.7378296952381,-72.77516404320167,-1,1,-1,-3.137415603745892
A/NewYork/177/1999,3.300220493564985,-78.24793748032883,9,1,-1,-1.950940301789565
A/NewYork/249/1998,5.463609690735262,-77.56101517794241,9,1,1,-1.0586090886466677
A/NewYork/253/1999,5.920797594519623,-76.55603271234182,9,1,1,-0.9817380448062651
A/NewYork/261/1999,5.182987145705595,-76.64086970028313,9,1,1,-1.0142850016364027
A/NewYork/280/1999,5.920752996895742,-76.55603886011632,9,1,1,-0.9817364072488584
A/NewYork/328/1998,5.768036753578629,-76.63371895266134,9,1,1,-0.9860719015023032
A/NewYork/248/1999,5.738290489860742,-76.63583822616191,9,1,1,-0.9866369993039334
A/NewYork/317/1999,5.769732518415352,-76.6281544022813,9,1,1,-0.9857895208009145
A/NewYork/279/1999,5.839428896632575,-76.57363825643777,9,1,1,-0.9788383741585494
A/NewYork/320/1999,5.920782053201685,-76.55603485472362,9,1,1,-0.9817374741580519
A/NewYork/313/1998,6.064379733595063,-75.55626336620465,9,1,1,-1.0220749918660519
A/NewYork/288/1999,6.2013125129635815,-76.46665873622263,9,1,1,-0.9847918471264766
A/NewYork/282/1999,7.2174505865359935,-76.88884673343973,9,1,1,-1.2495229317362093
A/NewYork/327/1999,4.148713732005595,-78.63814071377969,9,1,-1,-1.8217760266649037
A/NewYork/325/1999,6.200986189551817,-76.46670527986805,9,1,1,-0.9847919507883237
A/NewYork/256/1998,6.027945640120582,-75.71666053878891,9,1,1,-0.9794526648540062
A/NewYork/454/1999,4.100465233495643,-78.42698816749213,9,1,-1,-1.771438678071365
A/NewYork/252/1999,5.3886543059523895,-77.58134660734136,9,1,1,-1.0813702493496327
A/NewYork/224/1998,6.065250433626303,-75.55614106321855,9,1,1,-1.0222493464296587
A/NewYork/240/1998,5.7682516243081166,-76.63369578110812,9,1,1,-0.9860673252694063
A/NewYork/285/1999,6.027944517292393,-75.71666069858014,9,1,1,-0.979452600858837
A/NewYork/318/1999,6.027940012228267,-75.7166613397016,9,1,1,-0.9794524501631819
A/NewYork/262/1999,6.811510043964334,-76.58778257301924,9,1,1,-1.0168640213601825
A/NewYork/264/1999,5.878004658836728,-77.39711752957017,9,1,1,-1.0190648551221015
A/NewYork/398/1999,4.3050140154617145,-78.50651991339372,9,1,-1,-1.7393357648539431
A/NewYork/255/1999,5.839424080280497,-76.57363889138117,9,1,1,-0.9788381876820746
A/NewYork/266/1999,5.389582513409112,-77.56148886628412,9,1,1,-1.070904930093145
A/NewYork/311/1999,5.434359156471327,-77.56714297390383,9,1,1,-1.0634023243488882
A/NewYork/322/1999,5.580484918114914,-76.55762031826873,9,1,1,-0.9846737200111526
A/NewYork/330/1998,5.666827758309287,-76.65087463709041,9,1,1,-1.0042957612698244
A/NewYork/457/1999,8.216656012316928,-76.72620724383096,9,1,-1,-1.6668848481597938
A/NewYork/284/1999,6.822472140873511,-80.63493722220177,9,1,-1,-2.1739821386574683
A/NewYork/286/1999,7.4036758727888605,-75.76759229799394,9,1,1,-1.3001552176896771
A/Malaysia/10675/1998,9.255869313778838,-76.89857638925844,9,1,-1,-2.1142817440826063
A/Malaysia/10970/1999,5.143346388325363,-80.4020737946069,-1,1,-1,-2.199619139986851
A/Malaysia/12106/1999,7.008442114898174,-73.42463419324838,-1,1,-1,-2.1071872564112883
A/Malaysia/12132/1999,7.0082483805503095,-73.42466358628546,-1,1,-1,-2.1071555232603125
A/Malaysia/13094/1999,7.004434657931747,-75.15955633577434,9,1,1,-1.3470814488898153
A/Malaysia/10717/1999,6.923241984603813,-76.41528666287775,9,1,1,-1.0635899549089953
A/Malaysia/10969/1999,6.683550426353997,-77.49824875794327,9,1,1,-1.133300871838147
A/Malaysia/10807/1999,9.506702395262076,-78.65983333887745,-1,1,-1,-2.149365390292687
A/Malaysia/10879/1999,9.523917529067553,-79.56298188694096,-1,1,-1,-2.122292003743437
A/Malaysia/10816/1999,2.635385215535421,-82.71264252403836,-1,1,-1,-1.7139921097275213
A/NewYork/428/1999,1.5846270582137636,-78.57226030462505,-1,1,-1,-2.1833603047108148
A/NewYork/449/1999,6.027944874832403,-75.71666064769815,9,1,1,-0.9794526212366929
A/Malaysia/13246/1999,8.02318119311509,-75.94906498412908,9,1,-1,-1.5628180137844545
A/Malaysia/13328/1999,7.873584290208349,-75.97986899938438,9,1,1,-1.4921759569635646
A/Malaysia/13329/1999,6.723214093210751,-77.09455708612417,9,1,1,-1.0054731493326843
A/Malaysia/12550/1999,15.21144499572492,-80.33305818500014,-1,1,-1,-1.7958532869970028
A/Malaysia/12766/1999,13.571038194628365,-81.6782791768037,-1,1,-1,-1.6684784928321903
A/HongKong/CUHK10132/1999,13.782034290190472,-87.2440005790197,11,1,1,-1.1607843750389761
A/HongKong/CUHK10151/1999,15.077247166244645,-87.96662144514417,11,1,1,-0.9739613591618852
A/HongKong/CUHK11230/1999,14.550564344600327,-87.98689524596297,11,1,1,-1.0615126356006908
A/HongKong/CUHK11237/1999,13.913309655517585,-87.11396293046921,11,1,1,-1.1021327738510327
A/HongKong/CUHK12312/1999,13.183626207686613,-88.41757305405146,11,1,1,-1.323296693008957
A/HongKong/CUHK12572/1999,14.67768359828516,-87.79989362095512,11,1,1,-0.9869696950184513
A/HongKong/CUHK14627/1999,18.483664488178405,-85.99264376874413,11,1,1,-1.0172574504607266
A/HongKong/CUHK14875/1999,17.785091446776487,-85.13675354532342,11,1,1,-1.0313462986829978
A/HongKong/CUHK12580/1999,15.110217047070494,-90.00566933653023,-1,1,1,-1.4283460302782849
A/HongKong/CUHK14672/1999,14.998020835908491,-90.0741295537593,-1,1,1,-1.4125574685051663
A/HongKong/CUHK30605/1999,25.95660598725414,-83.60053960644815,-1,1,-1,-2.2602686440863344
A/HongKong/CUHK13763/1999,18.091675515996968,-86.01766315293091,11,1,1,-1.0117739256774105
A/HongKong/CUHK31421/1999,23.548616695815912,-85.77711512271208,-1,1,-1,-1.681523564810242
A/HongKong/CUHK30314/1999,19.554063596689275,-85.86630932506398,11,1,1,-1.009937140064845
A/HongKong/CUHK12897/1999,9.664041430960387,-92.18916409132154,-1,1,1,-1.4730251297565213
A/HongKong/CUHK32796/1999,13.644007167815811,-93.388831575588,-1,1,-1,-1.5432185115073564
A/NewYork/339/1999,14.811584141636402,-86.95726828944616,11,1,1,-0.9643176277841643
A/NewYork/448/1998,17.794695292748052,-85.32666843273618,11,1,1,-1.019056093836602
A/Malaysia/10877/1999,12.295909221059532,-93.65624641551123,-1,1,-1,-1.609604782512663
A/NewYork/287/1998,12.893585729096925,-93.52895659803879,-1,1,-1,-1.636102267949648
A/NewYork/250/1998,12.6280895227665,-93.58611021700386,-1,1,-1,-1.6567379748499165
A/NewYork/335/1999,12.274070218797526,-92.6308090981572,-1,1,-1,-1.5552845685031982
A/NewYork/263/1999,13.313114009810555,-92.4200413961501,-1,1,1,-1.4850690597180045
A/NewYork/265/1999,12.402886932417259,-93.633817152833,-1,1,-1,-1.6777358379751477
A/NewYork/455/1999,20.419709268185674,-85.80634570959542,11,1,1,-1.1020094377416145
A/NewYork/501/1997,18.701675816494454,-86.18693295696475,11,1,1,-1.0030751841532322
A/NewYork/540/1998,19.552148155921373,-87.02068696028765,11,1,1,-1.0298210066991422
A/NewYork/529/1998,17.978725533953835,-85.29093361716993,11,1,1,-1.0130760434740729
A/NewYork/533/1998,18.367624682287765,-86.19594234344518,11,1,1,-1.0169924010227187
A/NewYork/545/1997,18.283713391265366,-85.2857051741117,11,1,1,-1.021003358183733
A/NewYork/535/1998,19.490867340593148,-87.03666969849651,11,1,1,-1.0258741073139963
A/NewYork/536/1998,22.516013642795436,-86.24609877923344,-1,1,1,-1.4872601767721532
A/NewYork/527/1998,19.98993943958853,-86.66350256042189,11,1,1,-1.070634008589402
A/NewYork/507/1997,15.44624812079667,-85.8350847233568,11,1,1,-0.9700609264068625
A/NewYork/547/1997,16.51745648407922,-85.77444323803878,11,1,1,-1.074466171075319
A/NewYork/534/1998,15.865664896610582,-86.78283457686796,11,1,1,-0.9726505360772645
A/NewYork/512/1998,15.550690027616206,-86.80649413983829,11,1,1,-0.9748882404662631
A/NewYork/531/1998,15.457330756905632,-86.83159757870938,11,1,1,-0.9758746576175487
A/NewYork/542/1998,15.417633001920915,-86.84668426739832,11,1,1,-0.965017365960142
A/NewYork/514/1998,20.720668757750907,-86.07259449534008,11,1,1,-1.153316427007669
A/NewYork/525/1998,14.985322208028462,-88.97777666080212,11,1,1,-1.2219150248463646
A/NewYork/526/1997,16.67251858123527,-86.66442584594087,11,1,1,-0.9808354164118119
A/NewYork/520/1998,15.345631842194088,-88.90625807993472,11,1,1,-1.2689543318779561
A/NewYork/521/1998,15.73015016649137,-85.78950677622738,11,1,1,-0.9854861251190308
