strain	num_date	pca1	pca2	pca3	pca4	mds1	mds2	tsne_x	tsne_y	umap_x	umap_y	clade_membership	pca_label	mds_label	umap_label	t-sne_label	y_value
A/Newcastle/67/2018	2018.71	-1.61	5.60	-1.09	0.40	4.49	-29.72	-6.69	38.48	13.26	7.15	A2/re	0	1	3	3	174
A/Brisbane/161/2018	2018.82	-1.61	5.60	-1.07	0.39	3.82	-28.24	-7.13	38.20	12.62	6.98	A2/re	0	1	3	3	175
A/Victoria/2036/2018	2018.63	-1.61	5.59	-1.07	0.39	3.60	-26.93	-7.24	38.08	11.69	7.23	A2/re	0	1	3	3	176
A/Alaska/46/2018	2018.42	-1.61	5.59	-1.07	0.38	3.25	-25.59	-8.24	36.67	11.16	7.81	A2/re	0	1	3	3	177
A/California/71/2018	2018.83	-1.60	5.58	-1.06	0.38	3.20	-25.53	-8.06	36.57	11.24	7.79	A2/re	0	1	3	3	178
A/Italy/9367/2019	2019.14	-1.62	5.60	-1.06	0.31	6.53	-32.51	-10.96	37.87	13.83	7.43	A2/re	0	1	3	3	179
A/Montana/43/2018	2018.95	-1.61	5.60	-1.07	0.39	4.69	-29.81	-9.42	34.58	13.10	6.87	A2/re	0	1	3	3	180
A/Guam/7699/2018	2018.96	-1.61	5.61	-1.07	0.39	4.99	-31.32	-9.64	33.56	13.69	7.36	A2/re	0	1	3	3	181
A/Guam/7833/2019	2019.01	-1.61	5.61	-1.08	0.40	5.68	-32.65	-9.68	33.48	13.59	7.44	A2/re	0	1	3	3	182
A/Sydney/1038/2018	2018.86	-1.61	5.60	-1.07	0.39	4.04	-28.29	-9.02	34.72	12.53	7.10	A2/re	0	1	3	3	183
A/Washington/186/2018	2018.82	-1.61	5.59	-1.07	0.38	3.75	-26.91	-8.98	34.92	11.83	7.18	A2/re	0	1	3	3	184
A/SouthKorea/8204/2019	2019.02	-1.66	5.57	-0.86	0.30	5.70	-27.19	-9.01	34.72	11.85	7.55	A2/re	0	1	3	3	185
A/SouthAustralia/22/2018	2018.58	-1.61	0.69	-2.22	0.06	24.68	-28.75	31.80	-8.06	13.64	8.52	A1	-1	1	3	2	186
A/Brisbane/101/2018	2018.50	-1.75	-2.41	-2.74	0.41	12.20	24.32	29.84	-17.70	15.56	4.39	A1b/135N	6	0	2	1	187
A/Wisconsin/99/2018	2018.63	-1.74	-1.65	-1.25	0.11	5.85	4.27	31.00	-18.16	15.30	5.57	A1b/135N	6	0	2	1	188
A/SouthAustralia/54/2018	2018.70	-1.90	-2.41	-2.82	0.47	13.39	17.59	30.68	-18.62	14.73	4.92	A1b/135N	6	0	2	1	189
A/SouthAustralia/69/2018	2018.71	-1.88	-2.39	-2.71	0.42	14.03	19.46	31.53	-19.33	14.90	4.43	A1b/135N	6	0	2	1	190
A/Michigan/386/2018	2018.63	-1.90	-2.42	-2.86	0.49	10.80	11.46	30.34	-19.29	15.62	5.33	A1b/135N	6	0	2	1	191
A/Guam/7502/2018	2018.79	-1.90	-2.42	-2.85	0.49	9.50	8.52	30.33	-19.27	17.24	4.92	A1b/135N	6	0	2	1	192
A/Hawaii/44/2018	2018.43	-1.91	-2.44	-2.91	0.50	12.32	16.13	29.96	-19.81	14.82	5.25	A1b/135N	6	0	2	1	193
A/SouthAustralia/161/2018	2018.84	-1.91	-2.42	-2.93	0.52	14.42	21.00	28.63	-20.77	15.09	4.47	A1b/135N	6	0	2	1	194
A/Hawaii/50/2018	2018.58	-1.92	-2.44	-2.82	0.36	12.85	15.12	29.40	-19.15	15.08	5.39	A1b/135N	6	0	2	1	195
A/Hawaii/53/2018	2018.66	-1.93	-2.46	-2.87	0.37	13.53	17.06	29.16	-19.53	14.60	5.02	A1b/135N	6	0	2	1	196
A/Hawaii/51/2018	2018.62	-2.23	-2.45	-2.97	0.39	11.89	20.28	28.41	-19.39	15.14	4.75	A1b/135N	6	0	2	1	197
A/Hawaii/52/2018	2018.63	-1.86	-2.47	-2.87	0.38	12.94	20.38	28.41	-19.38	15.13	4.68	A1b/135N	6	0	2	1	198
A/Hawaii/47/2018	2018.54	-1.91	-2.45	-2.94	0.52	13.63	19.42	29.86	-21.33	14.65	4.56	A1b/135N	6	0	2	1	199
A/Wisconsin/95/2018	2018.58	-1.91	-2.45	-2.95	0.52	12.87	17.90	30.04	-21.04	14.53	4.72	A1b/135N	6	0	2	1	200
A/SouthAustralia/19/2018	2018.52	-1.55	-2.48	-2.87	0.51	13.17	22.33	30.61	-22.32	15.24	4.29	A1b/135N	6	0	2	1	201
A/SouthAustralia/1006/2018	2018.54	-1.92	-2.46	-2.97	0.53	15.73	23.70	30.64	-22.49	15.41	4.58	A1b/135N	6	0	2	1	202
A/SouthAustralia/1009/2018	2018.54	-1.92	-2.46	-2.97	0.53	15.13	22.42	30.62	-22.40	15.35	4.36	A1b/135N	6	0	2	1	203
A/Victoria/2041/2018	2018.65	-1.92	-2.46	-2.87	0.66	14.37	19.14	30.97	-20.78	14.80	4.71	A1b/135N	6	0	2	1	204
A/SouthAustralia/87/2018	2018.72	-1.91	-2.45	-2.93	0.52	12.54	16.25	30.56	-20.57	14.59	5.28	A1b/135N	6	0	2	1	205
A/Sydney/100/2018	2018.48	-1.91	-2.45	-2.93	0.52	13.08	17.89	30.74	-20.61	14.56	5.03	A1b/135N	6	0	2	1	206
A/Michigan/385/2018	2018.58	-1.91	-2.45	-2.94	0.52	14.58	20.88	31.35	-20.84	14.97	4.18	A1b/135N	6	0	2	1	207
A/Wisconsin/98/2018	2018.59	-2.19	-2.43	-3.04	0.53	12.03	17.73	29.85	-20.58	14.92	5.11	A1b/135N	6	0	2	1	208
A/Minnesota/50/2018	2018.69	-1.87	-2.50	-3.00	0.51	11.73	17.81	29.43	-20.96	14.94	4.89	A1b/135N	6	0	2	1	209
A/SouthAustralia/186/2018	2018.87	-1.91	-2.45	-2.93	0.51	12.46	16.24	30.13	-20.45	14.93	5.37	A1b/135N	6	0	2	1	210
A/Hawaii/46/2018	2018.54	-1.91	-2.44	-2.92	0.51	11.99	14.47	30.13	-20.39	15.10	5.20	A1b/135N	6	0	2	1	211
A/Brisbane/115/2018	2018.55	-1.81	-2.48	-2.04	0.14	9.23	7.76	34.14	-13.23	18.21	6.01	A1b/135K	5	0	2	2	212
A/Brisbane/67/2018	2018.38	-1.81	-2.48	-2.05	0.14	9.94	9.74	34.14	-13.25	17.50	6.26	A1b/135K	5	0	2	2	213
A/Germany/8918/2019	2019.08	-1.75	-2.28	-2.27	0.23	4.08	13.07	36.16	-10.61	16.01	5.90	A1b/135K	5	0	2	2	214
A/Brisbane/64/2018	2018.38	-1.45	-2.60	-2.08	0.16	6.19	7.46	37.17	-7.87	18.94	5.49	A1b/135K	5	0	2	2	215
A/Michigan/397/2018	2018.71	-1.81	-2.54	-2.15	0.17	8.32	6.14	36.24	-9.19	19.62	4.69	A1b/135K	5	0	2	2	216
A/Sydney/1002/2018	2018.43	-1.73	-2.55	-2.17	0.16	6.57	16.29	34.87	-8.25	16.42	5.77	A1b/135K	5	0	2	2	217
A/California/96/2018	2018.91	-1.81	-2.54	-2.16	0.18	9.85	17.39	33.89	-9.16	16.22	5.81	A1b/135K	5	0	2	2	218
A/NewHampshire/24/2018	2018.56	-1.82	-2.56	-2.19	0.17	8.10	9.95	34.33	-9.19	17.89	6.20	A1b/135K	5	0	2	2	219
A/Sydney/34/2018	2018.28	-1.91	-2.37	-2.18	0.20	13.93	13.99	38.77	-8.72	16.43	6.32	A1b/135K	5	0	2	2	220
A/Hawaii/65/2019	2019.71	-1.36	-2.64	-2.18	0.17	9.86	26.58	39.63	-1.73	16.09	4.63	A1b/137F	5	0	2	2	221
A/Hawaii/03/2020	2020.02	-1.27	-2.67	-2.14	0.14	4.63	20.40	40.17	-2.27	16.54	4.75	A1b/137F	5	0	2	2	222
A/California/191/2019	2019.84	-1.36	-2.65	-2.20	0.18	8.37	24.95	40.74	-2.31	16.23	4.39	A1b/137F	5	0	2	2	223
A/Hawaii/01/2020	2020.01	-1.36	-2.66	-2.20	0.18	9.32	26.45	40.81	-2.32	16.05	4.39	A1b/137F	5	0	2	2	224
A/Colorado/46/2019	2019.91	-1.36	-2.64	-2.15	0.17	7.53	23.34	39.76	-2.55	16.35	4.57	A1b/137F	5	0	2	2	225
A/Homosapien/China/LS340/2019	2019.78	-1.36	-2.65	-2.16	0.17	6.07	19.77	39.78	-2.28	16.33	5.11	A1b/137F	5	0	2	2	226
A/Homosapien/China/LS341/2019	2019.87	-1.36	-2.64	-2.16	0.17	6.75	21.53	39.74	-2.29	16.20	4.74	A1b/137F	5	0	2	2	227
A/Louisiana/27/2018	2018.98	-1.81	-2.54	-2.15	0.17	8.39	6.22	36.32	-9.35	19.66	4.30	A1b/135K	5	0	2	2	228
A/Italy/9065/2019	2019.13	-1.89	-2.49	-2.08	0.14	12.15	11.08	32.14	-10.78	17.51	5.79	A1b/135K	5	0	2	2	229
A/SouthAustralia/174/2018	2018.85	-1.71	-2.51	-2.01	0.09	8.37	19.16	31.20	-11.07	16.06	5.46	A1b/135K	5	0	2	2	230
A/SouthAustralia/1028/2018	2018.78	-1.89	-2.49	-2.09	0.16	11.98	11.10	31.70	-10.96	17.57	5.78	A1b/135K	5	0	2	2	231
A/Victoria/722/2018	2018.65	-1.89	-2.48	-2.09	0.16	10.98	9.19	31.71	-10.95	17.89	5.78	A1b/135K	5	0	2	2	232
A/India/Pun-1847593/2018	2018.76	-1.75	-2.45	-2.25	0.22	5.21	7.94	37.04	-11.20	17.92	6.35	A1b/135K	5	0	2	2	233
A/NewYork/40/2018	2018.68	-1.82	-2.55	-2.22	0.18	9.47	12.56	36.26	-11.64	17.44	6.43	A1b/135K	5	0	2	2	234
A/India/Pun-19533/2019	2019.10	-1.83	-2.43	-2.24	0.21	6.98	6.53	38.40	-9.52	18.36	6.17	A1b/135K	5	0	2	2	235
A/India/Pun-1845890/2018	2018.68	-1.85	-2.58	-2.11	-0.03	8.47	6.62	37.65	-9.58	19.46	4.86	A1b/135K	5	0	2	2	236
A/India/Ker-19299/2018	2018.82	-1.86	-2.45	-2.18	-0.00	7.81	5.63	37.95	-9.38	19.62	5.23	A1b/135K	5	0	2	2	237
A/SouthAustralia/179/2018	2018.88	-1.86	-2.46	-2.21	-0.00	7.38	6.01	37.96	-8.82	18.97	5.62	A1b/135K	5	0	2	2	238
A/Townsville/23/2018	2018.55	-1.82	-2.56	-2.18	0.19	8.26	9.76	36.33	-7.40	18.03	6.36	A1b/135K	5	0	2	2	239
A/SouthAustralia/12/2018	2018.41	-1.73	-2.55	-2.14	0.16	6.72	6.77	35.82	-8.25	19.48	5.05	A1b/135K	5	0	2	2	240
A/Perth/90/2018	2018.65	-1.81	-2.54	-2.17	0.18	8.17	6.65	35.91	-8.22	19.15	4.51	A1b/135K	5	0	2	2	241
A/Victoria/1004/2018	2018.75	-1.82	-2.54	-2.18	0.18	8.54	12.18	35.55	-7.42	17.21	6.17	A1b/135K	5	0	2	2	242
A/Santiago/PUC-MVL_022/2018	2018.40	-1.81	-2.56	-2.19	0.17	7.88	8.18	37.65	-6.79	18.65	5.80	A1b/135K	5	0	2	2	243
A/Santiago/p003d0/2018	2018.46	-1.81	-2.56	-2.20	0.17	9.15	14.77	37.73	-6.56	16.51	5.99	A1b/135K	5	0	2	2	244
A/Santiago/p016d0/2018	2018.52	-1.82	-2.56	-2.20	0.17	8.26	6.66	36.64	-8.80	19.21	4.79	A1b/135K	5	0	2	2	245
A/Minnesota/42/2018	2018.63	-1.81	-2.55	-2.17	0.17	8.34	6.23	36.56	-8.96	19.63	4.66	A1b/135K	5	0	2	2	246
A/India/Pun-1846768/2018	2018.74	-1.82	-2.57	-2.19	0.19	8.55	8.59	37.78	-10.51	18.83	6.01	A1b/135K	5	0	2	2	247
A/India/Pun-1847801/2018	2018.79	-1.84	-2.59	-2.13	0.41	11.36	13.85	38.07	-11.04	16.77	6.29	A1b/135K	5	0	2	2	248
A/India/Pun-1851127/2018	2018.82	-1.82	-2.59	-2.11	0.39	9.90	12.04	37.98	-12.82	17.71	6.58	A1b/135K	5	0	2	2	249
A/India/Pun-1847030/2018	2018.74	-1.85	-2.61	-2.17	0.42	10.61	12.37	37.91	-13.32	17.70	5.88	A1b/135K	5	0	2	2	250
A/Victoria/2093/2018	2018.75	-1.84	-2.61	-2.18	0.42	11.08	14.23	37.40	-14.00	16.99	6.18	A1b/135K	5	0	2	2	251
A/SouthDakota/44/2018	2018.74	-1.85	-2.61	-2.17	0.42	9.91	10.86	37.84	-13.66	18.47	6.25	A1b/135K	5	0	2	2	252
A/Victoria/733/2018	2018.69	-1.85	-2.61	-2.17	0.42	9.97	10.88	38.03	-13.90	18.15	6.30	A1b/135K	5	0	2	2	253
A/Florida/87/2018	2018.74	-1.78	-2.52	-2.30	0.48	7.36	11.92	38.21	-14.17	17.61	6.45	A1b/135K	5	0	2	2	254
A/SouthAustralia/121/2018	2018.77	-1.85	-2.61	-2.18	0.42	10.91	14.17	38.21	-14.17	17.15	6.22	A1b/135K	5	0	2	2	255
A/Michigan/401/2018	2018.75	-1.82	-2.55	-2.18	0.20	8.46	6.46	36.96	-9.84	19.47	4.40	A1b/135K	5	0	2	2	256
A/India/Pun-19615/2019	2019.12	-1.83	-2.59	-2.23	0.21	9.92	16.32	40.09	-12.15	16.24	6.06	A1b/135K	5	0	2	2	257
A/India/Ker-19298/2018	2018.79	-1.83	-2.60	-2.25	0.21	9.24	13.93	40.80	-10.52	16.85	6.37	A1b/135K	5	0	2	2	258
A/Minnesota/58/2018	2018.89	-1.82	-2.58	-2.23	0.20	8.69	11.87	40.50	-10.48	17.33	6.54	A1b/135K	5	0	2	2	259
A/Germany/8914/2019	2019.10	-1.82	-2.57	-2.22	0.21	8.67	10.40	40.72	-11.48	18.20	6.21	A1b/135K	5	0	2	2	260
A/Homosapien/China/LS205/2018	2018.99	-1.82	-2.57	-2.23	0.22	9.44	14.29	41.05	-11.65	16.72	6.33	A1b/135K	5	0	2	2	261
A/Bahrain/NHRC-OID_ESX0121A/2018	2018.83	-1.83	-2.58	-2.24	0.21	8.36	8.95	39.82	-10.91	18.70	5.55	A1b/135K	5	0	2	2	262
A/Bahrain/NHRC-OID_ESX0123/2018	2018.83	-1.83	-2.58	-2.24	0.21	8.42	10.34	39.77	-10.87	18.33	6.03	A1b/135K	5	0	2	2	263
A/SouthAustralia/167/2018	2018.84	-1.82	-2.57	-2.21	0.20	8.72	10.27	39.90	-11.29	18.01	6.08	A1b/135K	5	0	2	2	264
A/Germany/9360/2019	2019.21	-1.82	-2.57	-2.21	0.20	8.44	7.84	39.92	-11.01	19.41	5.44	A1b/135K	5	0	2	2	265
A/Italy/8938/2019	2019.09	-1.27	-2.61	-2.09	0.14	4.65	11.63	32.97	-6.62	17.14	5.38	A1b/135K	5	0	2	2	266
A/Germany/9482/2019	2019.21	-1.64	-2.61	-2.19	0.14	6.62	11.15	33.36	-6.55	17.68	5.43	A1b/135K	5	0	2	2	267
A/England/8122/2019	2019.08	-1.64	-2.60	-2.18	0.15	6.76	9.58	33.36	-6.50	18.24	5.51	A1b/135K	5	0	2	2	268
A/Belgium/8877/2019	2019.09	-1.82	-2.59	-2.23	0.16	6.12	9.38	33.33	-6.53	18.38	5.35	A1b/135K	5	0	2	2	269
A/Wisconsin/105/2018	2018.68	-1.66	-2.71	-2.37	0.17	7.29	13.98	33.77	-4.03	17.05	5.42	A1b/135K	-1	0	2	2	270
A/Germany/7830/2018	2019.00	-1.66	-2.72	-2.39	0.17	6.88	11.64	33.70	-4.29	17.82	5.38	A1b/135K	5	0	2	2	271
A/Germany/9669/2019	2019.27	-1.57	-2.74	-2.38	0.15	8.92	23.17	33.33	-3.12	16.06	4.87	A1b/135K	-1	0	2	2	272
A/Minnesota/44/2019	2019.46	-1.66	-2.72	-2.37	0.16	8.41	18.34	32.76	-3.98	16.37	5.06	A1b/135K	-1	0	2	2	273
A/RhodeIsland/10/2020	2020.06	-1.13	-2.66	-2.33	0.21	4.22	22.11	32.25	-4.72	16.34	4.93	A1b/186D	5	0	2	2	274
A/Arizona/39/2019	2019.71	-1.67	-2.73	-2.39	0.17	7.45	14.13	33.14	-4.29	17.15	5.54	A1b/135K	-1	0	2	2	275
A/SouthAustralia/153/2018	2018.83	-1.66	-2.70	-2.35	0.16	6.89	9.85	33.97	-5.09	18.07	5.34	A1b/135K	5	0	2	2	276
A/Turkey/8543/2019	2019.04	-1.71	-2.22	-2.55	0.32	6.81	6.96	34.07	-4.93	18.98	5.15	A1b/135K	5	0	2	2	277
A/Iran/ClinicalSample/2019	2019.13	-1.66	-2.69	-2.34	0.16	7.35	7.60	34.03	-4.88	19.32	5.20	A1b/135K	5	0	2	2	278
A/Germany/9483/2019	2019.21	-1.67	-2.72	-2.39	0.19	7.84	15.98	35.46	-4.54	16.67	5.54	A1b/135K	5	0	2	2	279
A/England/8581/2019	2019.08	-1.67	-2.72	-2.39	0.20	7.40	13.60	35.22	-4.37	17.30	5.41	A1b/135K	5	0	2	2	280
A/Moscow/119/2019	2019.20	-1.67	-2.73	-2.41	0.20	7.78	15.78	35.19	-3.70	16.60	5.47	A1b/135K	-1	0	2	2	281
A/Makhachkala/84/2019	2019.14	-1.58	-2.72	-2.36	0.19	5.53	14.62	35.44	-3.72	16.78	5.46	A1b/135K	5	0	2	2	282
A/Vladimir/87/2019	2019.14	-1.58	-2.73	-2.35	0.19	5.62	14.72	35.44	-3.72	16.88	5.21	A1b/135K	5	0	2	2	283
A/Victoria/2038/2018	2018.64	-1.73	-2.41	-2.18	0.20	6.52	5.45	37.03	-8.61	19.72	4.88	A1b/135K	5	0	2	2	284
A/Victoria/721/2018	2018.66	-1.81	-2.54	-2.16	0.16	8.17	6.52	36.42	-9.70	19.38	4.59	A1b/135K	5	0	2	2	285
A/Moscow/1/2019	2019.02	-1.81	-2.54	-2.15	0.17	8.33	6.18	36.09	-9.36	19.32	4.54	A1b/135K	5	0	2	2	286
A/Grozny/88/2019	2019.16	-1.81	-2.54	-2.16	0.18	8.14	7.20	35.57	-9.49	19.05	5.15	A1b/135K	5	0	2	2	287
A/Florida/64/2019	2019.34	-1.82	-2.56	-2.17	0.17	8.05	8.20	34.93	-10.60	18.59	5.57	A1b/135K	5	0	2	2	288
A/Germany/9056/2019	2019.14	-1.81	-2.55	-2.17	0.15	8.09	7.33	34.68	-10.86	19.40	5.36	A1b/135K	5	0	2	2	289
A/Alaska/7957/2019	2019.04	-1.81	-2.55	-2.17	0.15	7.83	9.31	34.48	-11.04	18.14	5.96	A1b/135K	5	0	2	2	290
A/NewJersey/48/2018	2018.91	-1.74	-2.56	-2.15	0.14	6.14	8.54	34.50	-11.09	18.29	5.59	A1b/135K	5	0	2	2	291
A/Massachusetts/14/2019	2019.14	-1.46	-2.64	-2.16	0.18	5.95	12.62	40.74	-8.07	17.03	6.13	A1b/135K	5	0	2	2	292
A/Belgium/8876/2019	2019.08	-1.45	-2.62	-2.12	0.14	5.39	12.40	40.13	-6.53	16.85	5.88	A1b/135K	5	0	2	2	293
A/England/7823/2019	2019.02	-1.46	-2.64	-2.16	0.15	5.56	10.59	41.94	-7.30	17.58	5.75	A1b/135K	5	0	2	2	294
A/England/7964/2019	2019.03	-1.46	-2.64	-2.16	0.15	5.64	12.79	42.09	-7.27	16.83	5.72	A1b/135K	5	0	2	2	295
A/England/7963/2019	2019.03	-1.46	-2.64	-2.16	0.15	6.14	15.48	42.19	-7.28	16.31	5.73	A1b/135K	5	0	2	2	296
A/Florida/94/2019	2019.68	-1.41	-2.23	-2.26	0.25	4.14	15.45	41.25	-6.29	16.50	5.45	A1b/135K	5	0	2	2	297
A/England/8892/2019	2019.11	-1.46	-2.62	-2.12	0.14	5.78	8.92	40.37	-7.27	18.20	5.24	A1b/135K	5	0	2	2	298
A/England/8893/2019	2019.11	-1.46	-2.62	-2.12	0.14	6.25	7.85	40.42	-7.27	18.69	5.00	A1b/135K	5	0	2	2	299
A/Wisconsin/555/2019	2019.49	-1.45	-2.62	-2.12	0.14	5.72	8.83	40.62	-7.22	18.12	5.15	A1b/135K	5	0	2	2	300
A/Italy/7842/2019	2019.03	-1.46	-2.62	-2.12	0.14	6.63	7.18	40.47	-7.27	19.09	4.70	A1b/135K	5	0	2	2	301
A/California/77/2018	2018.84	-2.86	-0.82	1.35	-0.70	24.29	3.40	4.94	-10.30	17.47	-8.53	A1b/131K	-1	-1	1	5	302
A/Michigan/418/2018	2018.90	-2.84	-0.83	1.36	-0.70	22.86	12.58	4.96	-10.74	17.90	-8.56	A1b/131K	-1	-1	1	5	303
A/Minnesota/54/2018	2018.82	-2.86	-0.82	1.35	-0.70	20.66	5.65	5.03	-10.32	17.29	-8.43	A1b/131K	-1	3	1	5	304
A/Guam/7834/2019	2019.01	-2.86	-0.82	1.34	-0.70	24.26	3.42	4.94	-10.30	17.50	-8.61	A1b/131K	-1	-1	1	5	305
A/Tomsk/243/2018	2018.95	-2.78	-0.69	1.32	-0.67	25.48	0.36	5.47	-10.03	17.63	-8.37	A1b/131K	-1	-1	1	5	306
A/Tomsk/245/2018	2018.97	-2.78	-0.69	1.32	-0.67	25.49	0.28	5.47	-10.03	17.71	-8.51	A1b/131K	-1	-1	1	5	307
A/Tomsk/244/2018	2018.97	-2.78	-0.69	1.32	-0.67	25.49	0.29	5.47	-10.03	17.52	-8.37	A1b/131K	-1	-1	1	5	308
A/Italy/9363/2019	2019.23	-3.02	-1.08	2.36	1.59	28.65	6.90	-6.16	-27.16	18.09	-5.82	A1b/131K	4	4	1	4	309
A/Italy/8453/2019	2019.06	-2.92	-1.06	2.26	1.24	22.54	9.98	-5.52	-24.40	17.82	-6.89	A1b/131K	4	4	1	4	310
A/India/Ker-1851650/2018	2018.81	-2.95	-1.00	1.88	0.51	21.10	7.91	-3.83	-24.27	17.55	-7.41	A1b/131K	4	4	1	4	311
A/India/Pun-1847054/2018	2018.75	-2.97	-1.01	1.98	0.70	23.82	9.33	-3.86	-24.42	17.89	-6.93	A1b/131K	4	4	1	4	312
A/India/Pun-1847933/2018	2018.80	-2.78	-1.02	2.02	0.68	22.99	11.18	-4.18	-23.69	17.68	-6.68	A1b/131K	4	4	1	4	313
A/India/Pun-1847908/2018	2018.82	-2.96	-1.01	1.97	0.70	22.57	8.66	-4.16	-24.19	17.64	-7.05	A1b/131K	4	4	1	4	314
A/India/Pun-1851148/2018	2018.82	-3.14	-1.00	1.92	0.71	23.13	9.70	-4.17	-23.97	18.03	-6.98	A1b/131K	4	4	1	4	315
A/SouthAustralia/184/2018	2018.86	-2.71	-0.55	2.21	1.57	23.20	8.07	-4.57	-25.41	17.89	-7.23	A1b/131K	4	4	1	4	316
A/NorthDakota/38/2018	2018.81	-3.02	-1.06	2.32	1.42	23.20	8.27	-4.84	-25.16	17.39	-7.14	A1b/131K	4	4	1	4	317
A/Texas/7538/2018	2018.83	-3.02	-1.06	2.32	1.42	23.20	8.27	-4.84	-25.16	17.37	-6.81	A1b/131K	4	4	1	4	318
A/SouthKorea/8203/2019	2019.02	-3.02	-1.07	2.31	1.42	23.14	8.42	-4.86	-25.16	17.71	-7.01	A1b/131K	4	4	1	4	319
A/India/Pun-1922030/2019	2019.59	-3.04	-1.10	2.38	1.69	24.16	9.17	-5.53	-25.26	17.90	-6.88	A1b/131K	4	4	1	4	320
A/India/Pun-1922292/2019	2019.63	-3.04	-1.10	2.39	1.73	25.13	10.16	-5.69	-25.29	17.84	-6.43	A1b/131K	4	4	1	4	321
A/SouthAustralia/26/2018	2018.61	-3.03	-1.08	2.37	1.58	23.68	8.03	-4.88	-27.27	17.37	-6.97	A1b/131K	4	4	1	4	322
A/SouthAustralia/151/2018	2018.83	-3.02	-1.08	2.36	1.53	23.73	7.82	-4.81	-27.26	17.32	-6.76	A1b/131K	4	4	1	4	323
A/Japan/7503/2018	2018.68	-3.02	-1.07	2.34	1.54	21.07	7.35	-5.06	-27.25	17.03	-7.30	A1b/131K	4	4	1	4	324
A/Italy/9061/2019	2019.20	-3.02	-1.07	2.35	1.54	22.21	7.73	-5.06	-27.25	17.17	-7.00	A1b/131K	4	4	1	4	325
A/Utah/58/2019	2019.92	-3.14	-1.20	3.03	3.27	31.95	9.15	-4.80	-29.11	18.30	-4.30	A1b/94N	3	4	1	4	326
A/India/Pun-1920970/2019	2019.39	-3.14	-1.20	3.04	3.24	25.50	8.67	-5.41	-29.87	17.75	-6.31	A1b/94N	3	4	1	4	327
A/India/Pun-1922052/2019	2019.59	-3.06	-1.08	3.02	3.32	28.33	8.48	-5.93	-29.31	18.16	-5.70	A1b/94N	3	4	1	4	328
A/NewYork/57/2019	2019.94	-3.43	-1.20	3.00	3.23	30.01	13.99	-7.16	-32.25	18.72	-4.42	A1b/94N	3	-1	1	4	329
A/India/Pun-1921994/2019	2019.57	-3.15	-1.22	3.15	3.51	27.61	9.83	-6.29	-29.77	18.12	-5.40	A1b/94N	3	4	1	4	330
A/India/Pun-1922016/2019	2019.58	-3.17	-1.24	3.27	3.81	31.36	10.83	-7.10	-29.41	18.63	-4.68	A1b/94N	3	4	1	4	331
A/India/Pun-1922295/2019	2019.63	-3.17	-1.24	3.27	3.82	31.43	10.69	-7.42	-29.76	18.34	-4.55	A1b/94N	3	4	1	4	332
A/India/Pun-1923665/2019	2019.67	-3.11	-1.21	3.05	3.88	28.23	13.31	-7.90	-30.14	18.13	-4.79	A1b/94N	3	4	1	4	333
A/India/Pun-1923690/2019	2019.66	-3.03	-1.07	2.98	3.83	27.88	14.24	-8.04	-29.74	18.28	-4.87	A1b/94N	3	-1	1	4	334
A/Delaware/41/2019	2019.42	-3.14	-1.22	3.10	3.36	31.67	9.84	-3.50	-30.91	18.15	-4.45	A1b/94N	3	4	1	4	335
A/Washington/652/2019	2019.73	-3.16	-1.24	3.07	3.41	32.16	12.12	-4.30	-32.40	18.49	-4.57	A1b/94N	3	4	1	4	336
A/Michigan/437/2019	2019.65	-2.97	-1.21	3.14	3.40	30.39	15.40	-5.23	-32.98	18.44	-4.50	A1b/94N	3	-1	1	4	337
A/India/Pun-1922218/2019	2019.60	-3.17	-1.23	3.23	3.68	27.75	9.76	-5.93	-30.57	17.87	-5.68	A1b/94N	3	4	1	4	338
A/India/Pun-1921693/2019	2019.54	-3.16	-1.23	3.19	3.59	27.75	9.76	-5.93	-30.57	17.91	-5.80	A1b/94N	3	4	1	4	339
A/India/Pun-1923708/2019	2019.68	-3.08	-1.17	2.84	3.40	26.70	13.34	-7.83	-30.95	18.33	-5.24	A1b/94N	3	4	1	4	340
A/India/Pun-1922260/2019	2019.62	-3.15	-1.22	3.14	3.49	29.09	9.94	-6.67	-31.12	17.95	-5.10	A1b/94N	3	4	1	4	341
A/India/Pun-1924667/2019	2019.58	-3.16	-1.23	3.20	3.63	28.87	10.31	-6.48	-30.68	18.55	-5.20	A1b/94N	3	4	1	4	342
A/Texas/357/2019	2019.52	-3.15	-1.22	3.06	3.39	28.54	10.52	-4.41	-30.24	18.49	-5.42	A1b/94N	3	4	1	4	343
A/Massachusetts/01/2020	2020.02	-3.15	-1.22	3.06	3.39	28.51	10.62	-4.41	-30.24	17.95	-5.19	A1b/94N	3	4	1	4	344
A/Illinois/40/2019	2019.96	-3.15	-1.22	3.07	3.41	32.29	11.57	-3.54	-29.87	18.58	-4.21	A1b/94N	3	4	1	4	345
A/Maryland/40/2019	2019.89	-3.14	-1.21	3.09	3.36	31.17	11.23	-3.85	-31.68	18.31	-4.48	A1b/94N	3	4	1	4	346
A/Pennsylvania/1019/2019	2019.77	-3.15	-1.21	3.14	3.46	29.20	9.55	-4.55	-31.12	18.12	-5.19	A1b/94N	3	4	1	4	347
