,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
A/SouthAustralia/11/2018,55,50,51,55,10,11,10,10,12,11,15,0,9,16,16,17,11,11,11,17,14,12,14,13,10,16,16,17,16,13,18,13,15,14,14,18,13,27,17,17,18,23,25,25,36,33,24,7,10,11,8,10,12,10,12,14,10,10,18,21,20,17,12,12,14,11,9,11,15,14,11,18,27,13,17,17,19,20,8,20,16,48,52,48,41,44,43,44,48,39,47,47,53,52,51,57,55,55,51,52,58,48,48,39,60,48,51,47,46,48,46,49,52,49,49,51,48,51,54,53,48,47,47,47,47,45,50,51,52,54,45,46,45,43,40,49,48,43,42,48,47,45,43,50,53,48,50,54,54,47,59,58,48,59,57,55,64,68,62,59,51,50,51,65,57,52,55,55,50,50,52,50,53,52,49,51,56,48,47,49,50,49,50,52,52,55,54,52,52,49,50,48,49,51,50,49,51,48,50,51,52,50,49,49,49,46,50,50,50,47,51,52,52,51,48,48,52,50,55,51,51,50,50,57,52,56,59,66,77,71,74,73,78,79,78,78,79,78,81,80,84,82,86,83,83,85,82,78,82,81,82,86,83,56,68,65,51
A/Brisbane/55/2018,52,47,50,54,9,10,9,9,11,10,14,9,0,15,15,16,10,10,10,16,13,9,13,12,9,15,15,18,15,12,17,12,14,13,9,17,12,26,16,16,17,22,24,24,34,31,23,6,9,6,7,9,11,9,11,13,9,7,17,20,19,16,11,11,13,10,8,6,14,13,10,17,26,12,16,16,18,19,7,19,15,47,51,47,42,45,42,43,47,38,46,46,52,53,50,56,54,56,50,53,57,47,47,38,59,47,50,46,45,47,45,48,51,48,48,50,47,49,53,52,47,46,46,46,46,44,49,50,51,53,44,45,44,42,39,48,47,42,41,47,46,44,42,49,52,47,49,53,53,46,58,57,47,60,58,56,63,67,61,58,50,49,50,64,56,51,54,54,49,49,51,49,52,51,48,50,55,47,46,48,49,48,49,51,51,54,53,51,51,48,49,47,48,50,49,48,50,49,49,50,51,49,48,48,48,45,49,49,49,46,50,51,51,50,47,47,51,49,54,50,50,49,49,56,51,57,58,65,76,70,73,72,77,78,77,77,78,77,80,79,83,81,85,82,82,84,81,77,81,80,81,85,82,55,65,62,50
A/Hawaii/65/2018,61,56,59,63,10,11,10,10,10,11,15,16,15,0,2,3,11,11,11,17,14,12,18,13,16,22,22,23,20,19,24,13,15,14,20,18,13,33,22,22,24,29,31,31,42,37,24,13,16,17,14,10,12,10,12,14,10,10,4,7,6,17,12,12,18,17,15,17,21,20,17,18,33,19,23,17,19,26,14,26,22,54,58,54,49,52,49,50,54,45,53,53,59,60,57,63,61,63,57,60,62,54,54,41,64,54,57,53,52,54,52,55,58,55,55,55,54,57,60,59,54,53,53,53,53,51,56,57,58,60,51,52,51,49,46,55,54,49,48,54,53,51,49,56,55,54,56,60,60,53,65,64,54,69,67,63,70,74,68,65,57,56,57,71,63,58,61,61,56,56,58,56,59,58,55,57,62,54,53,55,56,55,56,58,58,61,58,56,56,55,56,54,55,57,56,55,55,54,54,55,58,56,55,55,55,52,56,56,56,53,57,58,58,57,54,54,58,56,61,55,57,56,56,59,56,64,65,72,83,77,80,79,82,83,82,84,85,84,87,86,90,88,92,89,89,91,88,84,88,87,88,90,87,60,74,71,55
A/Sydney/1038/2018,61,56,59,63,10,11,10,10,10,11,15,16,15,2,0,3,11,11,11,17,14,12,18,13,16,22,22,23,20,19,24,13,15,14,20,18,13,33,22,22,24,29,31,31,42,37,24,13,16,17,14,10,12,10,12,14,10,10,4,7,6,17,12,12,18,17,15,17,21,20,17,18,33,19,23,17,19,26,14,26,22,54,58,54,49,52,49,50,54,45,53,53,59,60,57,63,61,63,57,60,62,54,54,41,64,54,57,53,52,54,52,55,58,55,55,55,54,57,60,59,54,53,53,53,53,51,56,57,58,60,51,52,51,49,46,55,54,49,48,54,53,51,49,56,57,54,56,60,60,53,65,64,52,69,67,63,70,74,68,65,57,56,57,71,63,58,61,61,56,56,58,56,59,58,55,57,62,54,53,55,56,55,56,58,58,61,58,56,56,55,56,54,55,57,56,55,57,56,56,57,58,56,55,55,55,52,56,56,56,53,57,58,58,57,54,54,58,56,61,57,57,56,56,59,56,64,65,72,83,77,80,79,82,83,82,84,85,84,87,86,90,88,92,89,89,91,88,84,88,87,88,90,87,60,74,71,55
A/Wisconsin/497/2018,62,57,60,64,11,12,11,11,11,12,16,17,16,3,3,0,12,12,12,18,15,13,19,14,17,23,23,24,21,20,25,14,16,15,19,19,14,34,23,23,23,30,32,32,43,38,25,14,17,18,15,11,13,11,13,15,11,11,5,6,5,18,13,13,19,18,16,18,22,21,18,17,34,18,24,18,20,25,15,27,23,55,59,55,50,53,50,51,55,46,54,54,60,61,58,64,62,64,58,61,63,55,55,42,65,55,58,54,53,55,53,56,59,56,56,56,55,58,61,60,55,54,54,54,54,52,57,58,59,61,52,51,52,50,47,56,55,50,49,55,54,52,50,57,58,55,57,61,61,54,66,65,55,70,68,64,71,75,69,66,58,57,58,72,64,59,62,62,57,57,59,57,60,59,56,58,63,55,54,56,57,56,57,59,59,62,59,57,57,56,57,55,56,58,57,56,58,57,57,58,59,57,56,56,56,53,57,57,57,54,58,59,59,58,55,55,59,57,62,58,58,57,57,60,57,65,66,73,84,78,81,80,83,84,83,85,86,85,88,87,91,89,93,90,90,92,89,85,89,88,89,89,86,59,75,72,56
A/Brisbane/57/2018,56,51,54,58,5,6,5,5,7,6,10,11,10,11,11,12,0,6,6,12,9,7,13,8,11,17,17,18,17,14,19,8,10,9,15,13,8,28,18,18,19,24,26,26,35,30,19,8,11,12,9,5,5,5,7,9,5,5,13,16,15,12,7,7,11,12,10,12,16,15,12,13,28,14,18,12,14,21,9,21,17,49,53,49,44,47,44,45,49,40,48,48,54,55,52,58,56,58,52,55,59,49,49,38,61,49,52,48,47,49,47,50,53,50,50,52,49,52,55,54,49,48,48,48,48,46,51,52,53,55,46,47,46,44,41,50,49,44,43,49,48,46,44,51,54,49,51,55,55,48,60,59,49,64,62,58,65,69,63,60,52,51,52,66,58,53,56,56,49,49,51,49,52,51,48,50,55,47,46,48,49,48,49,51,51,54,53,51,51,48,49,47,48,50,49,48,50,49,49,50,51,49,48,48,48,45,49,49,49,46,50,51,51,50,47,47,51,49,54,50,50,49,49,56,51,57,60,67,78,72,75,74,77,78,77,79,80,79,82,81,85,83,87,84,84,86,83,79,83,82,83,87,84,57,69,66,50
A/Brisbane/36/2018,56,51,54,58,5,6,5,5,7,6,10,11,10,11,11,12,6,0,6,12,9,7,13,8,11,17,17,18,17,14,19,7,9,8,15,13,8,28,18,18,19,24,26,26,37,32,19,8,11,12,9,5,7,5,7,9,5,5,13,16,15,12,7,7,13,12,10,12,16,15,12,13,28,14,18,12,14,20,8,21,17,49,53,49,44,47,44,45,48,40,48,48,54,55,52,58,56,58,52,55,59,49,49,38,61,49,52,48,47,49,46,50,53,50,50,52,49,51,55,54,49,47,48,48,48,46,51,52,53,55,46,47,46,44,41,50,49,44,43,49,48,46,44,51,54,49,51,55,55,48,60,57,49,64,62,58,65,69,61,58,50,49,50,64,58,51,54,54,51,51,53,51,54,53,50,52,57,49,48,50,51,50,51,53,53,56,53,51,51,50,51,49,50,52,51,50,52,51,49,52,53,51,50,50,50,47,51,51,51,48,52,53,53,52,49,49,53,51,56,52,52,51,51,58,51,59,60,67,77,71,74,73,76,77,76,78,79,78,81,80,84,82,86,83,83,85,82,78,82,81,82,86,83,56,69,66,48
A/Brisbane/40/2018,56,51,54,58,5,6,5,5,7,6,10,11,10,11,11,12,6,6,0,12,9,7,13,8,11,17,17,18,17,14,19,8,10,9,15,13,8,28,18,18,17,24,26,26,37,32,19,8,11,12,9,5,7,5,7,9,5,5,13,16,15,12,7,7,13,12,10,12,16,15,12,13,28,14,18,12,14,21,9,21,17,49,53,49,44,47,44,45,49,40,48,48,54,55,51,58,56,58,52,55,59,49,49,38,61,49,52,48,47,49,47,50,53,50,50,52,49,52,55,54,49,48,48,48,46,46,51,52,53,55,46,47,46,44,41,50,49,44,43,49,48,46,44,51,54,49,51,55,55,48,60,59,49,64,62,58,65,69,63,60,52,51,52,66,58,51,56,56,51,51,53,51,54,53,50,52,57,49,48,50,51,50,51,53,53,56,53,51,51,50,51,49,50,52,51,50,52,51,51,52,53,51,50,50,50,47,51,51,51,48,52,53,53,52,49,49,53,51,56,52,52,51,51,58,51,59,60,67,78,72,75,74,77,78,77,79,80,79,82,81,85,83,87,84,84,86,83,79,83,82,83,87,84,57,69,66,50
A/Michigan/77/2018,62,57,60,64,11,12,11,11,13,12,16,17,16,17,17,18,12,12,12,0,15,13,19,14,17,23,23,24,23,20,23,14,16,15,21,19,14,33,24,24,25,30,32,32,43,38,25,14,17,16,15,11,13,11,13,15,11,11,19,22,21,18,13,13,19,18,16,18,22,21,18,19,30,20,24,18,20,27,15,27,23,55,59,55,50,53,50,51,55,46,52,54,60,61,58,64,62,64,58,60,63,53,53,44,65,55,58,54,53,55,53,56,59,56,56,58,55,58,61,60,55,54,54,54,54,52,57,58,59,61,52,53,52,50,47,56,55,50,49,55,54,52,50,57,60,55,57,61,61,54,66,63,55,70,68,64,71,75,69,66,58,57,58,72,64,59,62,62,57,57,59,57,60,59,56,58,63,55,54,56,57,56,57,59,59,62,59,57,57,56,57,55,56,58,57,56,58,57,57,58,59,57,56,56,56,53,57,57,57,54,58,59,59,58,55,55,59,57,62,58,58,57,57,64,57,65,66,72,84,78,81,80,83,84,83,85,86,85,88,87,91,89,93,90,90,92,89,85,89,88,89,93,90,63,75,72,54
A/Victoria/2020/2018,59,54,57,61,8,9,8,8,10,9,13,14,13,14,14,15,9,9,9,15,0,10,16,11,14,20,20,21,20,17,22,11,13,12,18,16,11,31,21,21,22,25,27,27,40,35,22,11,14,15,12,8,8,6,8,10,8,8,16,19,18,15,10,10,16,15,13,15,19,18,15,16,31,17,21,15,17,24,12,24,20,52,56,52,47,50,47,48,52,43,51,51,57,56,55,59,57,61,55,58,60,52,52,41,62,52,55,51,50,52,50,53,56,53,51,55,52,53,56,57,52,51,51,51,51,49,54,55,56,58,49,50,49,47,44,53,52,47,46,52,51,49,47,54,57,52,54,56,58,51,63,62,52,67,65,61,68,72,66,63,55,54,55,69,61,56,59,59,54,54,56,54,57,56,53,55,60,52,51,53,54,53,54,56,56,59,56,54,54,53,54,52,53,55,54,53,55,54,54,55,56,54,53,53,53,50,54,54,54,51,55,56,56,55,52,52,56,54,59,55,55,54,54,61,54,60,63,70,81,75,78,77,78,81,80,82,83,82,85,84,88,86,90,87,87,89,86,82,86,85,86,90,87,60,72,69,53
A/Brisbane/17/2018,57,52,55,59,6,7,6,6,8,7,11,12,9,12,12,13,7,7,7,13,10,0,14,9,12,18,18,19,18,15,20,9,11,10,16,12,9,29,19,19,20,25,27,27,37,32,20,9,12,13,10,6,8,6,8,10,6,4,14,17,16,13,8,8,12,13,11,13,17,16,13,14,29,15,19,11,13,22,10,22,18,50,54,50,45,48,45,46,50,41,49,49,55,56,53,59,57,59,53,56,60,50,50,39,62,50,53,49,48,50,48,51,54,51,51,53,50,50,56,55,50,49,49,49,49,47,52,53,54,56,47,48,47,45,42,51,50,45,44,48,49,47,45,52,55,50,52,56,56,49,59,60,50,65,63,59,66,70,64,61,53,52,53,67,59,54,57,57,52,52,54,52,55,54,51,53,58,50,49,51,52,51,52,54,54,57,54,50,50,51,52,50,51,53,52,51,53,52,52,53,54,52,51,51,51,48,52,52,50,49,53,54,54,53,48,48,54,52,57,53,53,52,52,59,52,60,61,68,77,71,72,73,76,77,76,76,77,76,79,78,82,80,84,81,81,83,80,76,80,79,80,86,83,58,70,67,51
A/Florida/55/2018,57,52,55,59,12,13,12,12,14,13,17,14,13,18,18,19,13,13,13,19,16,14,0,15,14,20,20,23,20,17,22,15,17,16,18,20,15,31,21,21,20,27,29,29,38,35,26,11,14,15,12,12,14,12,14,16,12,12,20,23,22,19,14,14,18,15,13,15,19,18,15,20,31,17,21,19,21,22,12,24,20,52,56,52,47,50,47,48,52,43,51,51,55,58,55,61,59,61,55,56,62,52,52,43,64,52,55,51,50,52,50,53,56,53,53,55,52,55,58,57,52,51,51,51,51,49,54,55,56,58,49,50,49,47,44,53,52,47,46,52,51,49,47,54,57,52,54,58,58,51,63,62,52,67,65,61,68,72,66,63,55,54,55,69,61,56,59,59,54,54,56,54,57,56,53,55,59,52,51,53,54,53,54,56,56,59,56,54,54,53,54,52,53,54,53,53,55,54,54,55,56,54,53,53,53,50,54,54,54,51,55,56,56,55,52,52,56,54,59,55,55,54,52,61,54,62,63,68,81,75,78,77,82,83,82,82,83,82,85,84,88,86,90,87,87,89,86,82,86,85,86,90,87,60,70,67,55
A/Hawaii/43/2018,58,53,56,60,7,8,7,7,9,8,12,13,12,13,13,14,8,8,8,14,11,9,15,0,10,19,19,20,19,16,21,10,12,11,17,15,10,30,20,20,21,26,28,28,39,34,19,10,13,14,11,7,9,7,9,11,7,7,15,18,17,14,9,7,15,14,12,14,18,17,14,15,30,16,20,14,16,23,11,23,19,51,55,51,46,49,46,47,51,42,50,50,56,57,54,60,58,60,54,57,61,51,51,40,63,49,52,50,49,51,49,52,55,52,52,54,51,54,57,56,51,50,50,50,50,48,53,54,55,57,48,49,48,46,43,52,51,46,45,51,50,48,46,53,56,51,53,57,57,50,62,61,51,66,64,60,67,71,65,62,54,53,54,68,60,55,58,58,53,53,55,53,56,55,52,54,59,51,50,52,53,52,53,55,53,58,55,53,53,52,53,51,52,54,53,52,54,53,53,54,55,53,52,52,52,49,53,53,53,50,54,55,55,54,51,51,55,53,58,54,54,53,53,60,53,61,62,69,80,74,77,76,79,80,79,81,82,81,84,83,87,85,89,86,86,88,85,81,85,84,85,89,86,59,70,67,52
