Map from character to field name
A:	Australia
B:	Bahrain
C:	Belgium
D:	Brazil
E:	Chad
F:	Chile
G:	China
H:	Germany
I:	Guam
J:	Italy
K:	Japan
L:	Russia
M:	South Korea
N:	Spain
O:	Turkey
P:	USA
Q:	United Kingdom
R:	?


Substitution rate (mu): 161.478607

Equilibrium frequencies (pi_i):
  A: 0.0277
  B: 0.0721
  C: 0.0785
  D: 0.0677
  E: 0.0701
  F: 0.0626
  G: 0.0628
  H: 0.0473
  I: 0.0592
  J: 0.0494
  K: 0.0463
  L: 0.0733
  M: 0.0492
  N: 0.0659
  O: 0.0741
  P: 0.0372
  Q: 0.0566

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q
  K	4.0037	0.8273	0.8329	0.8244	0.831	0.8275	1.2728	2.7652	1.1398	3.2848	0	0.8441	1.5436	0.8345	0.8242	2.4613	1.5329
  L	1.151	0.8246	0.8235	0.8234	0.8248	0.8245	0.8249	1.6431	0.8831	0.8359	0.8441	0	0.8284	1.2464	0.8241	1.161	1.0703
  M	4.459	0.826	0.8243	0.8244	0.8328	0.827	1.0628	1.1914	0.8421	0.878	1.5436	0.8284	0	0.8264	0.824	1.7259	1.083
  N	2.0541	0.8244	0.8236	0.8234	0.8256	0.8291	0.8251	1.0505	0.824	1.5168	0.8345	1.2464	0.8264	0	0.8234	0.8548	0.8381
  O	0.8879	0.8235	0.8229	0.8229	0.8238	0.8232	0.8236	1.1616	0.8231	0.8239	0.8242	0.8241	0.824	0.8234	0	0.8266	0.8349
  P	14.2353	0.8334	0.8293	0.8318	0.9512	0.9908	1.1696	2.3264	2.3997	2.4016	2.4613	1.161	1.7259	0.8548	0.8266	0	1.9454
  Q	3.4279	0.8281	1.1774	0.8388	0.8302	1.037	0.8311	2.5889	0.8283	1.932	1.5329	1.0703	1.083	0.8381	0.8349	1.9454	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q
  A	0	0.0267	0.0231	0.0339	0.029	0.0497	0.0545	0.1581	0.0516	0.1178	0.1109	0.0319	0.1235	0.0569	0.0246	0.3941	0.0949
  B	0.0694	0	0.0594	0.0594	0.0594	0.0594	0.0594	0.0835	0.0594	0.0596	0.0596	0.0594	0.0595	0.0594	0.0594	0.0601	0.0597
  C	0.0655	0.0647	0	0.0646	0.0647	0.0647	0.0647	0.0685	0.0646	0.0982	0.0654	0.0647	0.0647	0.0647	0.0646	0.0651	0.0925
  D	0.0829	0.0557	0.0557	0	0.0558	0.0558	0.0558	0.0559	0.0557	0.0558	0.0558	0.0557	0.0558	0.0557	0.0557	0.0563	0.0568
  E	0.0733	0.0578	0.0578	0.0578	0	0.0578	0.058	0.0585	0.0579	0.0596	0.0583	0.0578	0.0584	0.0579	0.0578	0.0667	0.0582
  F	0.1124	0.0516	0.0515	0.0515	0.0516	0	0.0516	0.0524	0.0516	0.0518	0.0518	0.0516	0.0517	0.0519	0.0515	0.062	0.0649
  G	0.1237	0.0518	0.0518	0.0518	0.052	0.0519	0	0.0525	0.0519	0.0547	0.08	0.0518	0.0668	0.0519	0.0518	0.0735	0.0522
  H	0.2702	0.0548	0.0413	0.0391	0.0395	0.0396	0.0395	0	0.0444	0.1297	0.1309	0.0778	0.0564	0.0497	0.055	0.1101	0.1225
  I	0.1105	0.0488	0.0488	0.0488	0.0489	0.0488	0.0489	0.0555	0	0.0491	0.0675	0.0523	0.0499	0.0488	0.0488	0.1421	0.0491
  J	0.21	0.0408	0.0618	0.0407	0.042	0.0409	0.043	0.1353	0.0409	0	0.1622	0.0413	0.0434	0.0749	0.0407	0.1186	0.0954
  K	0.1855	0.0383	0.0386	0.0382	0.0385	0.0383	0.059	0.1281	0.0528	0.1522	0	0.0391	0.0715	0.0387	0.0382	0.1141	0.071
  L	0.0843	0.0604	0.0603	0.0603	0.0604	0.0604	0.0605	0.1204	0.0647	0.0613	0.0619	0	0.0607	0.0913	0.0604	0.0851	0.0784
  M	0.2192	0.0406	0.0405	0.0405	0.0409	0.0407	0.0523	0.0586	0.0414	0.0432	0.0759	0.0407	0	0.0406	0.0405	0.0849	0.0532
  N	0.1354	0.0544	0.0543	0.0543	0.0544	0.0547	0.0544	0.0693	0.0543	0.1	0.055	0.0822	0.0545	0	0.0543	0.0564	0.0553
  O	0.0658	0.061	0.0609	0.0609	0.061	0.061	0.061	0.086	0.061	0.061	0.061	0.061	0.061	0.061	0	0.0612	0.0618
  P	0.5289	0.031	0.0308	0.0309	0.0353	0.0368	0.0435	0.0864	0.0892	0.0892	0.0914	0.0431	0.0641	0.0318	0.0307	0	0.0723
  Q	0.1941	0.0469	0.0667	0.0475	0.047	0.0587	0.0471	0.1466	0.0469	0.1094	0.0868	0.0606	0.0613	0.0475	0.0473	0.1102	0
